component_test,OOS_Expectancy,OOS_Sharpe,OOS_MaxDrawdown,OOS_TradeCount,PctPositiveFolds,robust_score,delta_OOS_Expectancy,delta_OOS_Sharpe,delta_OOS_MaxDrawdown,delta_robust_score
partial_tp_off,0.002013028329915151,1.085635631841436,-0.002908607633877458,5.0,0.26666666666666666,2.1944830770766917,0.000312280652563577,-0.11384717322257476,-0.0007516815184193115,0.28021335422070814
winner_extension_on,0.0017944366071469286,1.1442379769446436,-0.00407374292935947,5.0,0.26666666666666666,1.9667262904558924,9.368892979535483e-05,-0.05524482811936715,-0.001916816813901323,0.05245656759990891
base,0.0017007476773515738,1.1994828050640107,-0.0021569261154581465,5.0,0.26666666666666666,1.9142697228559835,0.0,0.0,0.0,0.0
retest_entry_on,0.0017007476773515738,1.1994828050640107,-0.0021569261154581465,5.0,0.26666666666666666,1.9142697228559835,0.0,0.0,0.0,0.0
retest_entry_off,0.0017007476773515738,1.1994828050640107,-0.0021569261154581465,5.0,0.26666666666666666,1.9142697228559835,0.0,0.0,0.0,0.0
winner_extension_off,0.0017007476773515738,1.1994828050640107,-0.0021569261154581465,5.0,0.26666666666666666,1.9142697228559835,0.0,0.0,0.0,0.0
partial_tp_on,0.0017007476773515738,1.1994828050640107,-0.0021569261154581465,5.0,0.26666666666666666,1.9142697228559835,0.0,0.0,0.0,0.0
dynamic_cooldown_on,0.0017007476773515738,1.1994828050640107,-0.0021569261154581465,5.0,0.26666666666666666,1.9142697228559835,0.0,0.0,0.0,0.0
dynamic_cooldown_off,0.0017007476773515738,1.1994828050640107,-0.0021569261154581465,5.0,0.26666666666666666,1.9142697228559835,0.0,0.0,0.0,0.0
contraction_exit_loose,0.0016514242872356164,1.1064521261203533,-0.0021569261154581465,5.0,0.26666666666666666,1.8323924440153565,-4.932339011595732e-05,-0.09303067894365746,0.0,-0.08187727884062701
contraction_exit_tight,0.0010221740292155866,0.8179583751931503,-0.0021569261154581465,5.0,0.26666666666666666,1.133103758524698,-0.0006785736481359872,-0.38152442987086044,0.0,-0.7811659643312856
