symbol,fold_id,baseline_sharpe,meta_sharpe,delta_sharpe,baseline_expectancy,meta_expectancy,delta_expectancy,baseline_max_dd,meta_max_dd,delta_max_dd,baseline_trade_count,meta_trade_count,delta_trade_count
AUDUSD,0,-1.5024721028475656,-1.5024721028475656,0.0,0.0001803298744967709,0.0001803298744967709,0.0,-0.006154575030793197,-0.006154575030793197,0.0,4.0,4.0,0.0
AUDUSD,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDUSD,2,-0.7065120314169043,-0.7065120314169043,0.0,0.0008824160930843318,0.0008824160930843318,0.0,-0.005595275928146348,-0.005595275928146348,0.0,5.0,5.0,0.0
AUDUSD,3,-8.660758911666697,-8.660758911666697,0.0,-0.0010781139684804336,-0.0010781139684804336,0.0,-0.007588463215008834,-0.007588463215008834,0.0,3.0,3.0,0.0
AUDUSD,4,-1.4696133970103435,-1.4696133970103435,0.0,0.0007860615182766764,0.0007860615182766764,0.0,-0.005862276578928904,-0.005862276578928904,0.0,5.0,5.0,0.0
AUDUSD,5,1.7519696529890505,1.7519696529890505,0.0,0.002345284915233098,0.002345284915233098,0.0,-0.004777411413233623,-0.004777411413233623,0.0,4.0,4.0,0.0
AUDUSD,6,-4.248026382186757,-4.248026382186757,0.0,-0.0007419927486127685,-0.0007419927486127685,0.0,-0.004300350409524256,-0.004300350409524256,0.0,2.0,2.0,0.0
AUDUSD,7,-7.125891346733652,-7.125891346733652,0.0,-0.0013103312072905325,-0.0013103312072905325,0.0,-0.005456590614701606,-0.005456590614701606,0.0,2.0,2.0,0.0
AUDUSD,8,4.778534121722281,4.778534121722281,0.0,0.003400406119232149,0.003400406119232149,0.0,-0.0020062740457331696,-0.0020062740457331696,0.0,3.0,3.0,0.0
AUDUSD,9,-2.377734938756731,-2.377734938756731,0.0,2.1741431155873337e-05,2.1741431155873337e-05,0.0,-0.00439269924690211,-0.00439269924690211,0.0,3.0,3.0,0.0
AUDUSD,10,-5.120731978720368,-5.120731978720368,0.0,-1.7598589919655693e-05,-1.7598589919655693e-05,0.0,-0.004319429545884601,-0.004319429545884601,0.0,3.0,3.0,0.0
AUDUSD,11,-1.3640661128207912,-1.3640661128207912,0.0,0.00030296531038629965,0.00030296531038629965,0.0,-0.004285519692439288,-0.004285519692439288,0.0,3.0,3.0,0.0
AUDUSD,12,-1.6205790620652354,-1.6205790620652354,0.0,0.0003252895351675668,0.0003252895351675668,0.0,-0.0026272839176187945,-0.0026272839176187945,0.0,2.0,2.0,0.0
