symbol,fold_id,fold_test_start,fold_test_end,entries_total,entries_allowed,entries_filtered,allowed_trade_pct,filtered_trade_pct,allowed_bar_pct,mean_adx_slope,mean_atr_ratio,mean_pct_recent_low_vol
AUDUSD,0,2020-04-05 16:00:00+00:00,2020-04-26 11:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.058,-0.10547052294742827,0.9979299391772892,0.3813131313131313
AUDUSD,1,2020-04-26 12:00:00+00:00,2020-05-17 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.044,-0.1866739494238551,1.0039871720862585,0.14309014310961024
AUDUSD,2,2020-05-17 08:00:00+00:00,2020-06-07 03:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.096,0.11231655549961597,0.9999411017695722,0.39143443370763004
AUDUSD,3,2020-06-07 04:00:00+00:00,2020-06-27 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.044,-0.013560563967142284,1.002266362510168,0.3182738076102838
AUDUSD,4,2020-06-28 00:00:00+00:00,2020-07-18 19:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.064,0.23828435931809813,0.9975449267121083,0.43232323232323233
AUDUSD,5,2020-07-18 20:00:00+00:00,2020-08-08 15:00:00+00:00,2.0,1.0,1.0,0.5,0.5,0.046,-0.20504057454732819,1.0034403089704984,0.33535353535353535
AUDUSD,6,2020-08-08 16:00:00+00:00,2020-08-29 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.078,0.06626027763007367,1.0010637925845414,0.2209246704881849
AUDUSD,7,2020-08-29 12:00:00+00:00,2020-09-19 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.074,-0.1924776805004851,1.0016863709960162,0.39870973530158255
AUDUSD,8,2020-09-19 08:00:00+00:00,2020-10-10 03:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.07,0.029035921581864604,0.9988001989071527,0.30111111111111105
AUDUSD,9,2020-10-10 04:00:00+00:00,2020-10-30 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.08,-0.09982836280289223,1.0023897013289236,0.34448271238096734
AUDUSD,10,2020-10-31 00:00:00+00:00,2020-11-20 19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.034,-0.08692473601984761,1.0032423212887023,0.33434343434343433
AUDUSD,11,2020-11-20 20:00:00+00:00,2020-12-11 15:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.044,0.22648244412752977,1.0008018986374607,0.23656565656565656
AUDUSD,12,2020-12-11 16:00:00+00:00,2021-01-01 11:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.106,-0.13916743132986392,1.0000758444999216,0.38036577246751746
AUDUSD,13,2021-01-01 12:00:00+00:00,2021-01-22 07:00:00+00:00,1.0,1.0,0.0,1.0,0.0,0.07,-0.0618480571092047,1.001315463694652,0.31253026268224693
AUDUSD,14,2021-01-22 08:00:00+00:00,2021-02-12 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.068,0.12376525067533488,1.0015872820448937,0.3555865037486202
EURUSD,0,2020-04-05 16:00:00+00:00,2020-04-26 11:00:00+00:00,1.0,1.0,0.0,1.0,0.0,0.088,-0.13690398446193705,1.0013796770475598,0.32875890455494544
EURUSD,1,2020-04-26 12:00:00+00:00,2020-05-17 07:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.102,0.12376787770333544,1.001370258161094,0.32454922835657424
EURUSD,2,2020-05-17 08:00:00+00:00,2020-06-07 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.034,-0.19661806669680745,0.9980600849931739,0.39381350307515994
EURUSD,3,2020-06-07 04:00:00+00:00,2020-06-27 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.066,0.060983359716699034,1.0041620012271428,0.23408512664188616
EURUSD,4,2020-06-28 00:00:00+00:00,2020-07-18 19:00:00+00:00,1.0,0.0,1.0,0.0,1.0,0.072,0.09198886468877558,0.9998517498011467,0.4083593010485777
EURUSD,5,2020-07-18 20:00:00+00:00,2020-08-08 15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.086,-0.06273016156318222,1.0036821089728656,0.23559835828763498
EURUSD,6,2020-08-08 16:00:00+00:00,2020-08-29 11:00:00+00:00,2.0,0.0,2.0,0.0,1.0,0.056,0.04478685013104797,0.9974697185683076,0.3768686868686869
